address,price,beds,baths,area
"5955 Bishop St, Detroit, MI 48224","$54,900",2,1.0,1200
"14216 Kentucky St, Detroit, MI 48238","$40,000",4,2.0,1257
"1664 Lee Pl, Detroit, MI 48206","$74,900",3,1.0,1327
"110 Burlingame St, Detroit, MI 48202","$299,999",3,2.0,2295
"14101 Saint Marys St, Detroit, MI 48227","$239,000",4,2.0,2100
"19610 Rogge St, Detroit, MI 48234","$100,000",3,1.0,1109
"196 Keelson Dr, Detroit, MI 48215","$674,900",3,3.0,3282
"14640 Chandler Park Dr, Detroit, MI 48224","$90,000",3,2.0,982
"520 Fiske Dr, Detroit, MI 48214","$524,900",4,3.0,2650
"14572 Terry St, Detroit, MI 48227","$145,000",3,1.0,1300
"1936 Atkinson St, Detroit, MI 48206","$299,000",5,3.0,2516
"9148 Winthrop St, Detroit, MI 48228","$60,000",3,1.0,1020
"18034 Greenlawn St, Detroit, MI 48221","$149,900",4,4.0,2132
"2051 Atkinson St, Detroit, MI 48206","$450,000",4,3.0,2051
"1031 Hubbard St, Detroit, MI 48209","$499,000",4,2.0,2004
"18236 Faust Ave, Detroit, MI 48219","$129,900",3,1.0,1786
"4081 Porter St, Detroit, MI 48209","$280,000",3,1.0,1773
"12395 Roselawn St, Detroit, MI 48204","$84,900",3,1.0,1248
"18611 Pinehurst St, Detroit, MI 48221","$189,000",3,2.0,1798
"4020 Cortland St, Detroit, MI 48204","$209,900",4,2.0,2110
"20185 Northlawn St, Detroit, MI 48221","$155,000",5,2.0,1276
"488 Parkview Dr, Detroit, MI 48214","$749,500",4,4.0,3628
"2241 Vermont St, Detroit, MI 48216","$246,000",2,2.0,1112
"10035 Greensboro St, Detroit, MI 48224","$149,900",3,2.0,2560
"13034 Greiner St, Detroit, MI 48205","$80,000",4,2.0,1806
"2283 Taylor St, Detroit, MI 48206","$350,000",6,4.0,2822
"18903 Appoline St, Detroit, MI 48235","$229,000",4,2.0,3154
"8584 Cheyenne St, Detroit, MI 48228","$165,000",3,2.0,1520
"19946 Freeland St, Detroit, MI 48235","$135,000",3,2.0,1875
"17543 Santa Rosa Dr, Detroit, MI 48221","$324,900",4,3.0,2304
"690 Chicago Blvd, Detroit, MI 48202","$380,000",5,5.0,4800
"3490 Iroquois St, Detroit, MI 48214","$479,200",4,5.0,2881
"650 Melbourne St, Detroit, MI 48202","$35,000",4,2.0,1360
"888 Lawrence St, Detroit, MI 48202","$369,000",4,3.0,2960
"2280 Lawrence St, Detroit, MI 48206","$130,000",3,3.0,1633
"2498 Concord St, Detroit, MI 48207","$224,900",3,2.0,2274
"20417 Sheffield Rd, Detroit, MI 48221","$287,500",3,2.0,2265
"3038 Parker St, Detroit, MI 48214","$270,000",4,2.0,2195
"3263 Lothrop St, Detroit, MI 48206","$75,000",3,1.0,1441
"2256 Fischer St, Detroit, MI 48214","$225,000",6,3.0,2576
"834 Longfellow St, Detroit, MI 48202","$275,000",6,2.0,2221
"2908 Sheridan St, Detroit, MI 48214","$73,500",4,1.0,1405
"16143 Wormer St, Detroit, MI 48219","$95,000",3,2.0,1850
"19435 Packard St, Detroit, MI 48234","$114,900",3,1.0,1234
"8451 La Salle Blvd, Detroit, MI 48206","$325,000",5,3.0,2500
"1991 W Boston Blvd, Detroit, MI 48206","$618,000",5,6.0,4080
"7260 Auburn St, Detroit, MI 48228","$109,900",3,2.0,1323
"3196 Lockwood St, Detroit, MI 48210","$5,000",2,2.0,2000
"13944 Archdale St, Detroit, MI 48227","$234,900",4,3.0,2485
"1934 Glendale St, Detroit, MI 48238","$57,000",3,2.0,1540
"15500 Cruse St, Detroit, MI 48227","$175,000",7,2.0,2782
"21733 W McNichols Rd, Detroit, MI 48219","$160,000",4,3.0,2662
"8410 Grandville Ave, Detroit, MI 48228","$159,900",3,3.0,1795
"18989 San Juan Dr, Detroit, MI 48221","$165,000",4,2.0,1688
"15344 Steel St, Detroit, MI 48227","$144,900",5,2.0,2045
"8576 Mark Twain St, Detroit, MI 48228","$85,000",3,1.0,992
"13568 Asbury Park, Detroit, MI 48227","$117,900",3,1.0,1652
"15123 Artesian St, Detroit, MI 48223","$289,000",3,3.0,2378
"211 Arden Park Blvd, Detroit, MI 48202","$375,000",7,4.0,6300
"10023 Hartwell St, Detroit, MI 48227","$55,000",3,1.0,1619
"8931 La Salle Blvd, Detroit, MI 48206","$560,000",4,4.0,3313
"16157 Griggs St, Detroit, MI 48221","$135,000",3,2.0,1603
"16240 Ardmore St, Detroit, MI 48235","$75,000",3,1.0,1255
"14821 Strathmoor St, Detroit, MI 48227","$130,000",3,2.0,1140
"5268 Avery St, Detroit, MI 48208","$425,000",3,2.0,1735
"4212 Devonshire Rd, Detroit, MI 48224","$247,777",4,2.0,2124
"252 Philip St, Detroit, MI 48215","$70,000",6,2.0,2358
"1060 Parker St, Detroit, MI 48214","$619,900",8,6.0,4940
"17198 Santa Barbara Dr, Detroit, MI 48221","$229,000",4,3.0,1946
"14870 Piedmont St, Detroit, MI 48223","$329,900",4,2.0,2100
"14901 Seymour St, Detroit, MI 48205","$45,000",3,2.0,889
"9900 Carlin St, Detroit, MI 48227","$68,000",3,1.0,990
"17305 Fairfield St, Detroit, MI 48221","$234,900",4,4.0,2752
"18895 Albany St, Detroit, MI 48234","$39,900",4,1.0,1088
"18672 Cherrylawn St, Detroit, MI 48221","$319,900",4,3.0,2743
"16834 Muirland St, Detroit, MI 48221","$330,000",5,4.0,3200
"14100 Winthrop St, Detroit, MI 48227","$55,000",3,2.0,1411
"17875 Saint Louis St, Detroit, MI 48212","$49,900",4,2.0,1545
"4528 Woodhall St, Detroit, MI 48224","$22,000",3,2.0,899
"2625 W Eight Mile Rd, Detroit, MI 48203","$139,900",2,1.0,1048
"9345 Elsa St, Detroit, MI 48214","$14,900",3,2.0,1725
"19701 Cheyenne St, Detroit, MI 48235","$219,900",4,2.0,2390
"2415 Cody St, Detroit, MI 48212","$119,900",4,2.0,1672
"8886 Lorman St, Detroit, MI 48214","$50,000",3,1.0,1326
"2275 Lamothe St, Detroit, MI 48206","$262,900",4,2.0,1650
"5430 Elmwood St, Detroit, MI 48211","$199,000",3,3.0,1700
"15661 Bringard Dr, Detroit, MI 48205","$120,000",3,1.0,1053
"3339 Virginia Park St, Detroit, MI 48206","$199,999",3,2.0,1957
"16240 Washburn St, Detroit, MI 48221","$99,000",3,2.0,1525
"3677A Lincoln St, Detroit, MI 48208","$199,499",4,2.0,1949
"6300 Montrose St, Detroit, MI 48228","$229,000",5,4.0,2348
"5286 Allendale St, Detroit, MI 48204","$50,000",3,2.0,1762
"565 W Grand Blvd, Detroit, MI 48216","$424,900",4,3.0,2582
"19176 Redfern St, Detroit, MI 48219","$155,000",3,3.0,2398
"20411 Warrington Dr, Detroit, MI 48221","$265,000",3,2.0,1767
"17181 Wisconsin St, Detroit, MI 48221","$200,000",4,2.0,1978
"1796 Burns St, Detroit, MI 48214","$949,000",7,6.0,7533
"3842 Courville St, Detroit, MI 48224","$125,000",3,2.0,1450
"18014 Warrington Dr, Detroit, MI 48221","$229,900",7,5.0,2228
"402 Marlborough St, Detroit, MI 48215","$219,000",4,2.0,1828
"17755 Salem St, Detroit, MI 48219","$157,000",3,2.0,2162
"2973 S Dartmouth St, Detroit, MI 48217","$119,900",3,2.0,1350
"284 Riverside Dr, Detroit, MI 48215","$249,000",6,2.0,3098
"6361 Lafayette Blvd, Detroit, MI 48209","$249,999",4,2.0,1224
"15724 Manor St, Detroit, MI 48238","$155,000",3,3.0,2566
